t,tc_l2_E,tc_l2_I,tc_ma_E,tc_ma_I,cos_E,cos_I
183,0.00011452584294602275,5.884917118237354e-05,6.510584171337541e-06,6.714793016726617e-06,0.0024006711319088936,-0.005316904745995998
184,0.00011673544213408604,6.0138205299153924e-05,6.641194431722397e-06,6.864936949568801e-06,0.0022746468894183636,-0.010155086405575275
185,0.00011896766227437183,6.12172152614221e-05,6.768407729396131e-06,6.979586032684892e-06,0.0020214372780174017,-0.014125695452094078
186,0.00012357249215710908,6.347912130877376e-05,7.027556875982555e-06,7.235362772917142e-06,0.0021665021777153015,-0.016890162602066994
187,0.00012329602031968534,6.323571142274886e-05,7.010647550487192e-06,7.212709988380084e-06,0.0038257644046097994,-0.02257201261818409
188,0.0001233920775121078,6.336859951261431e-05,7.01787439538748e-06,7.22339382264181e-06,0.00441000796854496,-0.018839437514543533
189,0.00012206507381051779,6.25692046014592e-05,6.939543254702585e-06,7.129197456379188e-06,0.005543162580579519,-0.022461388260126114
190,0.0001181886182166636,6.043348912498914e-05,6.718410077155568e-06,6.874475275253644e-06,0.006346563808619976,-0.020814256742596626
191,0.00011507155431900173,5.8702120441012084e-05,6.542925348185236e-06,6.674038104392821e-06,0.00611341604962945,-0.01832512766122818
192,0.00011609742796281353,5.9356552810641006e-05,6.595440936507657e-06,6.755590675311396e-06,0.0057026357389986515,-0.016777101904153824
193,0.00011693680426105857,5.990789577481337e-05,6.639883395109791e-06,6.828754976595519e-06,0.0038600871339440346,-0.012223889119923115
194,0.00011743073991965503,6.0117803514003754e-05,6.666879471595166e-06,6.853855211375048e-06,0.004484562668949366,-0.01250151265412569
195,0.00011944620928261429,6.106551154516637e-05,6.780690910090925e-06,6.960192422411637e-06,0.00385064585134387,-0.013895109295845032
196,0.00011724842624971643,5.996802792651579e-05,6.658700840489473e-06,6.829231097071897e-06,0.0051895626820623875,-0.020137831568717957
197,0.00011667426588246599,5.967023389530368e-05,6.6286038418184035e-06,6.796353773097508e-06,0.005775433965027332,-0.01904042810201645
198,0.00011998810805380344,6.140201730886474e-05,6.82241488902946e-06,6.9957191044522915e-06,0.003735771169885993,-0.01584399864077568
199,0.0001208659668918699,6.175071757752448e-05,6.875691269669915e-06,7.039115644147387e-06,0.002872547833248973,-0.014519880525767803
200,0.00011844982509501278,6.062200918677263e-05,6.735087481501978e-06,6.917260179761797e-06,0.00435631675645709,-0.016991879791021347
201,0.00012052461534040049,6.182015204103664e-05,6.8501112764352e-06,7.051656211842783e-06,0.004088649991899729,-0.013464427553117275
202,0.00011896937940036878,6.082237814553082e-05,6.760063570254715e-06,6.929781648068456e-06,0.002916325582191348,-0.01336108148097992
203,0.00011803616507677361,6.037994535290636e-05,6.704927272949135e-06,6.877336545585422e-06,0.005970716010779142,-0.017551928758621216
204,0.00011931289918720722,6.111319089541212e-05,6.77431671647355e-06,6.966745331737911e-06,0.00520190317183733,-0.016275348141789436
205,0.00012046553456457332,6.162914360174909e-05,6.833449788246071e-06,7.019049462542171e-06,0.005034103989601135,-0.01901913620531559
206,0.00012038379645673558,6.169528933241963e-05,6.832492090325104e-06,7.02447141520679e-06,0.00415748031809926,-0.01775226555764675
207,0.00012070263619534671,6.205085082910955e-05,6.851970738352975e-06,7.0630167101626284e-06,0.003249467583373189,-0.013914787210524082
208,0.0001215326992678456,6.254561594687402e-05,6.897461389598902e-06,7.109264515747782e-06,0.004153140354901552,-0.01728668622672558
209,0.000119369724416174,6.150365516077727e-05,6.7757669057755265e-06,6.998259323154343e-06,0.003927938640117645,-0.015383298508822918
